 atomic_number   29.000000000000000     
 eigenvalues_eV  -8727.3958197767242       -1037.6721984328531       -911.01999694880806       -110.32901945850583       -70.937290216082943       -5.3622531023663234       -4.1964318976142962     
 unl(r)=Rnl(r)*r for spin=up in 1/sqrt(au)
   2.1551724137931037E-004  -134449.78741252812        6.5221906016350875E-002   1.9961361271858935E-002   3.2824034127152116E-005   7.6351190607385289E-003   1.2349181378220433E-005   2.5029124811906821E-009   1.6786575995312353E-003
   2.1583973574122774E-004  -134248.73619989754        6.5319502370262808E-002   1.9991230930662893E-002   3.2922341676520933E-005   7.6465440531609330E-003   1.2386167013602761E-005   2.5141651809279195E-009   1.6811694988483103E-003
   2.1616271267527160E-004  -134047.98538555502        6.5417244764805538E-002   2.0021145285642875E-002   3.3020943655703761E-005   7.6579861416431116E-003   1.2423263420475340E-005   2.5254684710283153E-009   1.6836851569058103E-003
   2.1648617290355026E-004  -133847.53452066405        6.5515133418510452E-002   2.0051104403681064E-002   3.3119840946513996E-005   7.6694453517671618E-003   1.2460470930597318E-005   2.5368225789381617E-009   1.6862045793282160E-003
   2.1681011714925257E-004  -133647.38315688449        6.5613167861338667E-002   2.0081108140474101E-002   3.3219034084137187E-005   7.6809216283171824E-003   1.2497789745287876E-005   2.5482277063473631E-009   1.6887277539752389E-003
   2.1713454613664953E-004  -133447.53084635219        6.5711346854874800E-002   2.0111156116055708E-002   3.3318523216149688E-005   7.6924148259143966E-003   1.2535219920004456E-005   2.5596840260105149E-009   1.6912546488827976E-003
   2.1745946059109595E-004  -133247.97714233623        6.5809670991406929E-002   2.0141248511936986E-002   3.3418309419661921E-005   7.7039250139969238E-003   1.2572761859997721E-005   2.5711917826931865E-009   1.6937852793178375E-003
   2.1778486123903202E-004  -133048.72159865734        6.5908140406474039E-002   2.0171385369543656E-002   3.3518393542984191E-005   7.7154522084072882E-003   1.2610415884418205E-005   2.5827512044706626E-009   1.6963196487634320E-003
   2.1811074880798495E-004  -132849.76376982220        6.6006755311889362E-002   2.0201566753694548E-002   3.3618776475529499E-005   7.7269964339380303E-003   1.2648182327883592E-005   2.5943625233994983E-009   1.6988577626704615E-003
   2.1843712402657060E-004  -132651.10321100312        6.6105515919814062E-002   2.0231792729314968E-002   3.3719459109383757E-005   7.7385577154224167E-003   1.2686061526017168E-005   2.6060259725793936E-009   1.7013996264987601E-003
   2.1876398762449514E-004  -132452.73947803699        6.6204422442705524E-002   2.0262063361420852E-002   3.3820442339287464E-005   7.7501360777283692E-003   1.2724053815440936E-005   2.6177417861558952E-009   1.7039452457157823E-003
   2.1909134033255663E-004  -132254.67212742439        6.6303475093322448E-002   2.0292378715120307E-002   3.3921727062645938E-005   7.7617315457590734E-003   1.2762159533779474E-005   2.6295101993252605E-009   1.7064946257967346E-003
   2.1941918288264668E-004  -132056.90071632859        6.6402674084725263E-002   2.0322738855613757E-002   3.4023314179537288E-005   7.7733441444530205E-003   1.2800379019662904E-005   2.6413314483391744E-009   1.7090477722245861E-003
   2.1974751600775211E-004  -131859.42480257430        6.6502019630276549E-002   2.0353143848194064E-002   3.4125204592720298E-005   7.7849738987840547E-003   1.2838712612729889E-005   2.6532057705094830E-009   1.7116046904900790E-003
   2.2007634044195651E-004  -131662.24394464723        6.6601511943641431E-002   2.0383593758246648E-002   3.4227399207642430E-005   7.7966208337614225E-003   1.2877160653630633E-005   2.6651334042129501E-009   1.7141653860917386E-003
   2.2040565692044197E-004  -131465.35770169253        6.6701151238787948E-002   2.0414088651249600E-002   3.4329898932447783E-005   7.8082849744298176E-003   1.2915723484029870E-005   2.6771145888960361E-009   1.7167298645358836E-003
   2.2073546617949069E-004  -131268.76563351415        6.6800937729987520E-002   2.0444628592773826E-002   3.4432704677985145E-005   7.8199663458694297E-003   1.2954401446609897E-005   2.6891495650796947E-009   1.7192981313366373E-003
   2.2106576895648662E-004  -131072.46730057365        6.6900871631815309E-002   2.0475213648483155E-002   3.4535817357815972E-005   7.8316649731959929E-003   1.2993194885073583E-005   2.7012385743641959E-009   1.7218701920159360E-003
   2.2139656598991708E-004  -130876.46226398950        6.7000953159150611E-002   2.0505843884134470E-002   3.4639237888222506E-005   7.8433808815608283E-003   1.3032104144147411E-005   2.7133818594339653E-009   1.7244460521035425E-003
   2.2172785801937448E-004  -130680.75008553575        6.7101182527177311E-002   2.0536519365577818E-002   3.4742967188215816E-005   7.8551140961508944E-003   1.3071129569584507E-005   2.7255796640624508E-009   1.7270257171370538E-003
   2.2205964578555793E-004  -130485.33032764128        6.7201559951384243E-002   2.0567240158756564E-002   3.4847006179543917E-005   7.8668646421888363E-003   1.3110271508167706E-005   2.7378322331170073E-009   1.7296091926619123E-003
   2.2239193003027491E-004  -130290.20255338878        6.7302085647565610E-002   2.0598006329707472E-002   3.4951355786699911E-005   7.8786325449330293E-003   1.3149530307712598E-005   2.7501398125638020E-009   1.7321964842314168E-003
   2.2272471149644289E-004  -130095.36632651376        6.7402759831821410E-002   2.0628817944560878E-002   3.5056016936930128E-005   7.8904178296776289E-003   1.3188906317070598E-005   2.7625026494727476E-009   1.7347875974067324E-003
   2.2305799092809105E-004  -129900.82121140345        6.7503582720557800E-002   2.0659675069540768E-002   3.5160990560242299E-005   7.9022205217526183E-003   1.3228399886132028E-005   2.7749209920224506E-009   1.7373825377569015E-003
   2.2339176907036190E-004  -129706.56677309617        6.7604554530487568E-002   2.0690577770964936E-002   3.5266277589413801E-005   7.9140406465238559E-003   1.3268011365829201E-005   2.7873950895051871E-009   1.7399813108588530E-003
