 atomic_number   39.000000000000000     
 eigenvalues_eV  -16477.051785229902       -2225.2269826700276       -2035.4509779659124       -353.41815593258593       -282.92900328905472       -154.25243344056898       -45.929524984425370       -27.607787442516322       -2.6812917077824672       -3.9298904698760406     
 unl(r)=Rnl(r)*r for spin=up in 1/sqrt(au)
   1.6025641025641026E-004  -243190.37249351182        7.5960624087397968E-002   2.4000432184039962E-002   4.0533637763220611E-005   9.8818379262331797E-003   1.7026439888023992E-005   4.8927457170931749E-009   3.8610567463404589E-003   6.0643572278480967E-006   1.0722893344977542E-009   1.1549935725267075E-003
   1.6050201824867883E-004  -242817.97119547497        7.6077040874369062E-002   2.4037215099324716E-002   4.0657976180083254E-005   9.8969827704806102E-003   1.7078669115335162E-005   4.9152759879013354E-009   3.8669741782484022E-003   6.0829598655241148E-006   1.0772270464672391E-009   1.1567637085978795E-003
   1.6074800265825120E-004  -242446.13976404187        7.6193636080994442E-002   2.4074054387880017E-002   4.0782696009588847E-005   9.9121508256235207E-003   1.7131058557712044E-005   4.9379100068157825E-009   3.8729006791762238E-003   6.1016195674718275E-006   1.0821874957695589E-009   1.1585365575687461E-003
   1.6099436406202223E-004  -242074.87732717500        7.6310409980718974E-002   2.4110950136103197E-002   4.0907798421734638E-005   9.9273421272347926E-003   1.7183608706620212E-005   4.9606482515790887E-009   3.8788362630230483E-003   6.1203365087379761E-006   1.0871707871063052E-009   1.1603121235970811E-003
   1.6124110303777093E-004  -241704.18301392352        7.6427362005563756E-002   2.4147902163958925E-002   4.1033284137480056E-005   9.9425566011561994E-003   1.7236319864853119E-005   4.9834911471887407E-009   3.8847809008115842E-003   6.1391107971667667E-006   1.0921770136192313E-009   1.1620903980145575E-003
   1.6148822016416177E-004  -241334.05595439486        7.6544490648505159E-002   2.4184909994067152E-002   4.1159153375570074E-005   9.9577940507671620E-003   1.7289192124188825E-005   5.0064390593649258E-009   3.8907345157134948E-003   6.1579424654414949E-006   1.0972062554586259E-009   1.1638713578386321E-003
   1.6173571602074612E-004  -240964.49528068563        7.6661796639488203E-002   2.4221973857369912E-002   4.1285407559383420E-005   9.9730545711715253E-003   1.7342226082554480E-005   5.0294925016614995E-009   3.8966971448890701E-003   6.1768317265290280E-006   1.1022586251745924E-009   1.1656550141854493E-003
   1.6198359118796356E-004  -240595.50012605666        7.6779280150386833E-002   2.4259093808099187E-002   4.1412047816001568E-005   9.9883381846945802E-003   1.7395422213381968E-005   5.0526519534971564E-009   3.9026687970610506E-003   6.1957787490526540E-006   1.1073342278360219E-009   1.1674413696643130E-003
   1.6223184624714323E-004  -240227.06962512207        7.6896941446284464E-002   2.4296269930000811E-002   4.1539075325928759E-005   1.0003644925816971E-002   1.7448781012549352E-005   5.0759179025620370E-009   3.9086494857017689E-003   6.2147837096306646E-006   1.1124331703245986E-009   1.1692304283053249E-003
   1.6248048178050525E-004  -239859.20291382039        7.7014780792708973E-002   2.4333502306961071E-002   4.1666491273302079E-005   1.0018974829077168E-002   1.7502302977460682E-005   5.0992908387916059E-009   3.9146392243061493E-003   6.2338467854248710E-006   1.1175555600140901E-009   1.1710221941453451E-003
