 atomic_number   14.000000000000000     
 eigenvalues_eV  -1783.0946476583372       -147.58250603952095       -105.18952980775306       -19.452225642267493       -12.134155162081887     
 unl(r)=Rnl(r)*r for spin=down in 1/sqrt(au)
   4.4642857142857147E-004  -31323.147918541705        4.4598634651484045E-002   1.1829791786393951E-002   1.7143666898570538E-005   3.5813183323428750E-003   4.5870808631884312E-006
   4.4705685199685429E-004  -31279.075497702561        4.4661400471856627E-002   1.1846440425799892E-002   1.7191955080687838E-005   3.5863584952290583E-003   4.6000011909933819E-006
   4.4768601677483546E-004  -31235.065014957603        4.4724254625610659E-002   1.1863112495643076E-002   1.7240379275044870E-005   3.5914057513807825E-003   4.6129579111959298E-006
   4.4831606700690619E-004  -31191.116383260916        4.4787197237061996E-002   1.1879808028898296E-002   1.7288939864744270E-005   3.5964601107807449E-003   4.6259511263017277E-006
   4.4894700393920887E-004  -31147.229515615763        4.4850228014280340E-002   1.1896526947917570E-002   1.7337637072787096E-005   3.6015215499169487E-003   4.6389808959737828E-006
   4.4957882881963978E-004  -31103.404325066578        4.4913346200965716E-002   1.1913269051640411E-002   1.7386470943220228E-005   3.6065900079101836E-003   4.6520472319875680E-006
   4.5021154289785135E-004  -31059.640724974353        4.4976552147650603E-002   1.1930034433160328E-002   1.7435441949035448E-005   3.6116655129460403E-003   4.6651502609026333E-006
   4.5084514742525469E-004  -31015.938628773358        4.5039845928673723E-002   1.1946823112168915E-002   1.7484550457459285E-005   3.6167480709852640E-003   4.6782900809760998E-006
   4.5147964365502215E-004  -30972.297950027583        4.5103227664479252E-002   1.1963635120610742E-002   1.7533796854555352E-005   3.6218376916985870E-003   4.6914667955057869E-006
   4.5211503284208967E-004  -30928.718602422483        4.5166697475699007E-002   1.1980470490480153E-002   1.7583181527479017E-005   3.6269343847718117E-003   4.7046805080816362E-006
   4.5275131624315931E-004  -30885.200499764822        4.5230255483123087E-002   1.1997329253813454E-002   1.7632704864469079E-005   3.6320381599034427E-003   4.7179313225834762E-006
   4.5338849511670180E-004  -30841.743555982510        4.5293901807702701E-002   1.2014211442689679E-002   1.7682367254851795E-005   3.6371490268049186E-003   4.7312193431821054E-006
   4.5402657072295902E-004  -30798.347685124398        4.5357636570550419E-002   1.2031117089230639E-002   1.7732169089043943E-005   3.6422669952006301E-003   4.7445446743401059E-006
   4.5466554432394631E-004  -30755.012801360150        4.5421459892940323E-002   1.2048046225600980E-002   1.7782110758555864E-005   3.6473920748279339E-003   4.7579074208126612E-006
   4.5530541718345519E-004  -30711.738818980029        4.5485371896308274E-002   1.2064998884008237E-002   1.7832192655994498E-005   3.6525242754371699E-003   4.7713076876483724E-006
   4.5594619056705578E-004  -30668.525652394790        4.5549372702252039E-002   1.2081975096702878E-002   1.7882415175066475E-005   3.6576636067916775E-003   4.7847455801900757E-006
   4.5658786574209932E-004  -30625.373216135420        4.5613462432531567E-002   1.2098974895978377E-002   1.7932778710581180E-005   3.6628100786678117E-003   4.7982212040756683E-006
   4.5723044397772057E-004  -30582.281424853078        4.5677641209069135E-002   1.2115998314171249E-002   1.7983283658453816E-005   3.6679637008549602E-003   4.8117346652389309E-006
   4.5787392654484050E-004  -30539.250193318825        4.5741909153949593E-002   1.2133045383661114E-002   1.8033930415708519E-005   3.6731244831555579E-003   4.8252860699103533E-006
   4.5851831471616864E-004  -30496.279436423520        4.5806266389420543E-002   1.2150116136870745E-002   1.8084719380481439E-005   3.6782924353851057E-003   4.8388755246179665E-006
   4.5916360976620569E-004  -30453.369069177628        4.5870713037892537E-002   1.2167210606266129E-002   1.8135650952023863E-005   3.6834675673721841E-003   4.8525031361881710E-006
   4.5980981297124597E-004  -30410.519006711060        4.5935249221939312E-002   1.2184328824356517E-002   1.8186725530705306E-005   3.6886498889584719E-003   4.8661690117465719E-006
   4.6045692560938009E-004  -30367.729164272983        4.5999875064297972E-002   1.2201470823694478E-002   1.8237943518016661E-005   3.6938394099987610E-003   4.8798732587188140E-006
   4.6110494896049731E-004  -30324.999457231701        4.6064590687869188E-002   1.2218636636875949E-002   1.8289305316573321E-005   3.6990361403609739E-003   4.8936159848314226E-006
   4.6175388430628816E-004  -30282.329801074433        4.6129396215717412E-002   1.2235826296540304E-002   1.8340811330118314E-005   3.7042400899261799E-003   4.9073972981126401E-006
   4.6240373293024700E-004  -30239.720111407158        4.6194291771071094E-002   1.2253039835370389E-002   1.8392461963525467E-005   3.7094512685886100E-003   4.9212173068932719E-006
   4.6305449611767441E-004  -30197.170303954492        4.6259277477322863E-002   1.2270277286092590E-002   1.8444257622802551E-005   3.7146696862556767E-003   4.9350761198075297E-006
   4.6370617515567987E-004  -30154.680294559483        4.6324353458029745E-002   1.2287538681476879E-002   1.8496198715094463E-005   3.7198953528479869E-003   4.9489738457938819E-006
   4.6435877133318434E-004  -30112.249999183423        4.6389519836913362E-002   1.2304824054336876E-002   1.8548285648686388E-005   3.7251282782993591E-003   4.9629105940959007E-006
   4.6501228594092269E-004  -30069.879333905730        4.6454776737860151E-002   1.2322133437529898E-002   1.8600518833007002E-005   3.7303684725568434E-003   4.9768864742631160E-006
   4.6566672027144627E-004  -30027.568214923765        4.6520124284921555E-002   1.2339466863957017E-002   1.8652898678631650E-005   3.7356159455807325E-003   4.9909015961518707E-006
   4.6632207561912557E-004  -29985.316558552659        4.6585562602314244E-002   1.2356824366563112E-002   1.8705425597285565E-005   3.7408707073445821E-003   5.0049560699261739E-006
