 atomic_number   41.000000000000000     
 eigenvalues_eV  -18330.646381035876       -2523.2337551382248       -2320.3489093827716       -418.77473253534930       -341.53112817952649       -199.67754613578509       -55.354732429824658       -33.950553338509117       -3.2361519646418122       -3.6066449747735607     
 unl(r)=Rnl(r)*r for spin=up in 1/sqrt(au)
   1.5243902439024390E-004  -268777.64043283084        7.7932699677539449E-002   2.4737092790892506E-002   4.1933014947069386E-005   1.0325536816949489E-002   1.7940168617009553E-005   5.3278875077694158E-009   4.1961729211857611E-003   6.7332558661315402E-006   1.3583915589957966E-009   1.1927064966684360E-003
   1.5267358354180589E-004  -268364.42534435226        7.8052615348663812E-002   2.4775155954313760E-002   4.2062159562613967E-005   1.0341424803407639E-002   1.7995420455728356E-005   5.3525195603982946E-009   4.2026296061726783E-003   6.7539928377347615E-006   1.3646717164358729E-009   1.1945417237373579E-003
   1.5290850361141889E-004  -267951.84509644844        7.8172715534994761E-002   2.4813277685830373E-002   4.2191701915639276E-005   1.0357337236838200E-002   1.8050842458158940E-005   5.3772654926869485E-009   4.2090962261126588E-003   6.7747936747249260E-006   1.3709809084920813E-009   1.1963797746849154E-003
   1.5314378515443041E-004  -267539.89871378581        7.8293000520447326E-002   2.4851458075561553E-002   4.2321643231090709E-005   1.0373274154857925E-002   1.8106435148368726E-005   5.4021258311273091E-009   4.2155727962926957E-003   6.7956585737936101E-006   1.3773192693981473E-009   1.1982206538562331E-003
   1.5337942872704246E-004  -267128.58522226691        7.8413469718733655E-002   2.4889696936808064E-002   4.2451984265656558E-005   1.0389235479503028E-002   1.8162198850036114E-005   5.4271010443296169E-009   4.2220592850269033E-003   6.8165876564197144E-006   1.3836869186299394E-009   1.2000643522449238E-003
   1.5361543488631290E-004  -266717.90364899905        7.8534121572385859E-002   2.4927993773929725E-002   4.2582725252299859E-005   1.0405221003816960E-002   1.8218133662713046E-005   5.4521915358499106E-009   4.2285556082056796E-003   6.8375809599600149E-006   1.3900839590767216E-009   1.2019108459437472E-003
   1.5385180419015676E-004  -266307.85302328237        7.8654956837393514E-002   2.4966348827212399E-002   4.2713867680261709E-005   1.0421230828115633E-002   1.8274240223569554E-005   5.4773978715437547E-009   4.2350618065974521E-003   6.8586387235571544E-006   1.3965105350085414E-009   1.2037601465406389E-003
   1.5408853719734748E-004  -265898.43237573479        7.8775975692599767E-002   2.5004762153347498E-002   4.2845412729822060E-005   1.0437264976058434E-002   1.8330519037556681E-005   5.5027205798155432E-009   4.2415778898168112E-003   6.8797611367275821E-006   1.4029667811466691E-009   1.2056122567684067E-003
   1.5432563446751834E-004  -265489.64073849190        7.8897178413245908E-002   2.5043233839690975E-002   4.2977361637001695E-005   1.0453323484108145E-002   1.8386970633479068E-005   5.5281601981689420E-009   4.2481038726817502E-003   6.9009483979407703E-006   1.4094528345323584E-009   1.2074671808388671E-003
   1.5456309656116372E-004  -265081.47714517650        7.9018565275036312E-002   2.5081763973745778E-002   4.3109715641640135E-005   1.0469406388788906E-002   1.8443595541775121E-005   5.5537172665921525E-009   4.2546397700351972E-003   6.9222007062793669E-006   1.4159688328403180E-009   1.2093249229709242E-003
   1.5480092403964043E-004  -264673.94063089613        7.9140136554071372E-002   2.5120352643140491E-002   4.3242475987370873E-005   1.0485513726677298E-002   1.8500394294506407E-005   5.5793923275647947E-009   4.2611855967413922E-003   6.9435182614352205E-006   1.4225149143804646E-009   1.2111854873895391E-003
   1.5503911746516901E-004  -264267.03023224068        7.9261892526854116E-002   2.5158999935631456E-002   4.3375643921636217E-005   1.0501645534403229E-002   1.8557367425364001E-005   5.6051859260697990E-009   4.2677413676862445E-003   6.9649012637117627E-006   1.4290912181009568E-009   1.2130488783258328E-003
   1.5527767740083516E-004  -263860.74498728011        7.9383833470290821E-002   2.5197705939102963E-002   4.3509220695698919E-005   1.0517801848650003E-002   1.8614515469673478E-005   5.6310986096049641E-009   4.2743070977773658E-003   6.9863499140258793E-006   1.4356978835911391E-009   1.2149151000170940E-003
   1.5551660441059099E-004  -263455.08393556217        7.9505959661691522E-002   2.5236470741567402E-002   4.3643207564653855E-005   1.0533982706154401E-002   1.8671838964399896E-005   5.6571309281945523E-009   4.2808828019440968E-003   7.0078644139097861E-006   1.4423350510845017E-009   1.2167841567067891E-003
   1.5575589905925631E-004  -263050.04611811042        7.9628271378770585E-002   2.5275294431165458E-002   4.3777605787439774E-005   1.0550188143706750E-002   1.8729338448152821E-005   5.6832834344009508E-009   4.2874684951375404E-003   7.0294449655129059E-006   1.4490028614616511E-009   1.2186560526445682E-003
   1.5599556191252009E-004  -262645.63057742157        7.9750768899647231E-002   2.5314177096166283E-002   4.3912416626850982E-005   1.0566418198150993E-002   1.8787014461191330E-005   5.7095566833363809E-009   4.2940641923305874E-003   7.0510917716037533E-006   1.4557014562532955E-009   1.2205307920862760E-003
   1.5623559353694169E-004  -262241.83635746362        7.9873452502846179E-002   2.5353118824967671E-002   4.4047641349549146E-005   1.0582672906384769E-002   1.8844867545429071E-005   5.7359512326746551E-009   4.3006699085179510E-003   7.0728050355718303E-006   1.4624309776432445E-009   1.2224083792939586E-003
   1.5647599449995227E-004  -261838.66250367288        7.9996322467298070E-002   2.5392119706096221E-002   4.4183281226075115E-005   1.0598952305359483E-002   1.8902898244439308E-005   5.7624676426630038E-009   4.3072856587161928E-003   7.0945849614295209E-006   1.4691915684714221E-009   1.2242888185358732E-003
