 atomic_number   70.000000000000000     
 eigenvalues_eV  -56700.498400956356       -9195.8105158861254       -8794.1735079864829       -2053.5916690948052       -1869.3943646730434       -1524.5615849266144       -389.39210015703748       -314.51340227509104       -178.91064345709233       -7.7891600516571335       -45.807553284398445       -26.285743517997219       -3.7289112143411196     
 unl(r)=Rnl(r)*r for spin=up in 1/sqrt(au)
   8.9285714285714286E-005  -783605.70196737733       0.10236792542453087        3.3812413033075445E-002   5.9034478160553779E-005   1.5741903181221647E-002   2.9024529770697565E-005   1.0689478242451831E-008   7.6646221125576727E-003   1.3902882760768013E-005   5.1780594141627896E-009   3.6266491383103726E-013   2.9772596621073554E-003   4.7867357573177156E-006   8.2810035129554454E-004
   8.9428938293179168E-005  -782350.09474340372       0.10253213472310074        3.3866651825197984E-002   5.9224025527737965E-005   1.5767154907959522E-002   2.9117721467706089E-005   1.0741002064987434E-008   7.6769170009779149E-003   1.3947522010672229E-005   5.2030179208628262E-009   3.6499753504208436E-013   2.9820355107801457E-003   4.8021049650836990E-006   8.2942871442557556E-004
   8.9572392047546773E-005  -781096.49842448346       0.10269660743126523        3.3920977622248799E-002   5.9414181491889982E-005   1.5792447141216585E-002   2.9211212383770356E-005   1.0792774234937988E-008   7.6892316117378951E-003   1.3992304587875273E-005   5.2280967288199312E-009   3.6734515941860659E-013   2.9868190204342185E-003   4.8175235201626174E-006   8.3075920839470409E-004
   8.9716075917356148E-005  -779844.90979007236       0.10286134397156199        3.3975390563793270E-002   5.9604948007087478E-005   1.5817779945969699E-002   2.9305003479620199E-005   1.0844795949350518E-008   7.7015659764743932E-003   1.4037230952571135E-005   5.2532964178922121E-009   3.6970788345932958E-013   2.9916102033586229E-003   4.8329915809983762E-006   8.3209183662102818E-004
   8.9859990271737517E-005  -778595.32562429237       0.10302634352375743        3.4029890377983311E-002   5.9796326310930528E-005   1.5843153195591111E-002   2.9399095363610391E-005   1.0897068279390942E-008   7.7139200335259173E-003   1.4082301396152058E-005   5.2786175069560208E-009   3.7208579979170869E-013   2.9964090356008684E-003   4.8485092479159658E-006   8.3342659244233929E-004
   9.0004135480413225E-005  -777347.74271587003       0.10319160388037361        3.4084476333728804E-002   5.9988316839415804E-005   1.5868566549573495E-002   2.9493488249854328E-005   1.0949592154646831E-008   7.7262936170863260E-003   1.4127516021152869E-005   5.3040604463016161E-009   3.7447899663181608E-013   3.0012154527536746E-003   4.8640765562162405E-006   8.3476345794423806E-004
   9.0148511913698705E-005  -776102.15785998176       0.10335712613754160        3.4139148793578551E-002   6.0180921952191934E-005   1.5894020176741731E-002   2.9588183298543927E-005   1.1002368859326242E-008   7.7386868093591863E-003   1.4172875383317431E-005   5.3296258580106539E-009   3.7688757470996373E-013   3.0060294867486578E-003   4.8796936972411651E-006   8.3610244200825262E-004
   9.0293119942503396E-005  -774858.56785661087       0.10352291056733484        3.4193907847281664E-002   6.0374143536465552E-005   1.5919514118871707E-002   2.9683181437516345E-005   1.1055399596385372E-008   7.7510996306839521E-003   1.4218379927082355E-005   5.3553143248031363E-009   3.7931163242053833E-013   3.0108511454864369E-003   4.8953608240093029E-006   8.3744354683187264E-004
   9.0437959938331733E-005  -773616.96951091965       0.10368895757950757        3.4248753630165038E-002   6.0567983565261386E-005   1.5945048438965867E-002   2.9778483636814291E-005   1.1108685589102854E-008   7.7635321117359435E-003   1.4264030117102267E-005   5.3811264392438414E-009   3.8175126928616388E-013   3.0156804408825789E-003   4.9110780965003293E-006   8.3878677572931488E-004
   9.0583032273284085E-005  -772377.35963318683       0.10385526758452879        3.4303686277791637E-002   6.0762444017956895E-005   1.5970623200136570E-002   2.9874090869603806E-005   1.1162228066652054E-008   7.7759842832439982E-003   1.4309826419527881E-005   5.4070627967529937E-009   3.8420658546930253E-013   3.0205173848734386E-003   4.9268456752090212E-006   8.4013213202057833E-004
   9.0728337320057699E-005  -771139.73503880005       0.10402184099348254        3.4358705925927484E-002   6.0957526880244375E-005   1.5996238465590704E-002   2.9970004112155613E-005   1.1216028264119004E-008   7.7884561759829756E-003   1.4355769301997079E-005   5.4331239956149613E-009   3.8667768177602007E-013   3.0253619894132478E-003   4.9426637211421805E-006   8.4147961903063395E-004
   9.0873875451947665E-005  -769904.09254824719       0.10418867821807780        3.4413812710544958E-002   6.1153234144156255E-005   1.6021894298631212E-002   3.0066224343857585E-005   1.1270087422531770E-008   7.8009478207745064E-003   1.4401859233640855E-005   5.4593106369924658E-009   3.8916465966015178E-013   3.0302142664744057E-003   4.9585323958206885E-006   8.4282924008950624E-004
   9.1019647042847907E-005  -768670.42898710747       0.10435577967064942        3.4469006767823059E-002   6.1349567808085311E-005   1.6047590762657243E-002   3.0162752547224660E-005   1.1324406788889024E-008   7.8134592484870608E-003   1.4448096685088085E-005   5.4856233249404386E-009   3.9166762122746498E-013   3.0350742280475062E-003   4.9744518612811439E-006   8.4418099853228001E-004
   9.1165652467252087E-005  -767438.74118604546       0.10452314576415907        3.4524288234147750E-002   6.1546529876804987E-005   1.6073327921164282E-002   3.0259589707908806E-005   1.1378987616188765E-008   7.8259904900360115E-003   1.4494482128470301E-005   5.5120626664199249E-009   3.9418666923984920E-013   3.0399418861413634E-003   4.9904222800775052E-006   8.4553489769910808E-004
